"Weekly papers released by March 14, 2016",http://nber.org//papers/w22086,Empirical Tools and Competition Analysis: Past Progress and Current Problems,Ariel Pakes #22086 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22085,Population Policy: Abortion and Modern Contraception are Substitutes,Grant Miller and Christine Valente #22085 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22084,Detecting Potential Overbilling in Medicare Reimbursement via Hours Worked,Hanming Fang and Qing Gong #22084 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22083,Disruptive Change in the Taxi Business: The Case of Uber,Judd Cramer and Alan B. Krueger #22083 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22082,Copyright Enforcement: Evidence from Two Field Experiments,Hong Luo and Julie Holland Mortimer #22082 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22081,"The ""Real"" Explanation of the Feldstein-Horioka Puzzle",Nicholas Ford and Charles Yuji Horioka #22081 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22080,Tax Policy Toward Low-Income Families,Hilary Hoynes and Jesse Rothstein #22080 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22079,To Vape or Smoke? A Discrete Choice Experiment Among U.S. Adult Smokers,"Joachim Marti, John Buckell, Johanna Catherine Maclean, and Jody L. Sindelar #22079 "
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22078,"Family Inequality: Diverging Patterns in Marriage, Cohabitation, and Childbearing","Shelly Lundberg, Robert A. Pollak, and Jenna E. Stearns #22078 "
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22077,Racial Sorting and the Emergence of Segregation in American Cities,Allison Shertzer and Randall P. Walsh #22077 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22076,Mirrlees meets Diamond-Mirrlees,Florian Scheuer and Ivn Werning #22076 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22075,Global Energy Outlook 2015,"Richard G. Newell, Yifei Qian, and Daniel Raimi #22075 "
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22074,Network Contagion and Interbank Amplification during the Great Depression,Kris James Mitchener and Gary Richardson #22074 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22073,National Policy for Regional Development: Evidence from Appalachian Highways,Taylor Jaworski and Carl T. Kitchens #22073 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22072,"Bargaining over Babies: Theory, Evidence, and Policy Implications",Matthias Doepke and Fabian Kindermann #22072 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22071,The Performance of Elected Officials: Evidence from State Supreme Courts,Elliott Ash and W. Bentley MacLeod #22071 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22070,The Purpose of Trade Agreements,Gene M. Grossman #22070 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22068,Families in Macroeconomics,Matthias Doepke and Michle Tertilt #22068 
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22067,Competitive Price Targeting with Smartphone Coupons,"Jean-Pierre H. Dub, Zheng Fang, Nathan Fong, and Xueming Luo #22067 "
"Weekly papers released by March 14, 2016",http://nber.org//papers/w22032,"U.S. Inequality, Fiscal Progressivity, and Work Disincentives: An Intragenerational Accounting","Alan J. Auerbach, Laurence J. Kotlikoff, and Darryl R. Koehler #22032 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22066,International Comparative Household Finance,"Cristian Badarinza, John Y. Campbell, and Tarun Ramadorai #22066 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22065,Speculative Fever: Investor Contagion in the Housing Bubble,"Patrick Bayer, Kyle Mangum, and James W. Roberts #22065 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22064,Too-Big-To-Fail Before the Fed,Gary Gorton and Ellis W. Tallman #22064 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22063,Sufficient Statistics for Imperfect Externality-Correcting Policies,"Mark R. Jacobsen, Christopher R. Knittel, James M. Sallee, and Arthur A. van Benthem #22063 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22062,Quantitative Models of Commercial Policy,Ralph Ossa #22062 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22061,Decentralized Governance and the Quality of School Leadership,"Derek Laing, Steven G. Rivkin, Jeffrey C. Schiman, and Jason Ward #22061 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22060,"Some Theoretical Connections Among Wealth, Income, Sustainability, and Accounting",Martin L. Weitzman #22060 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22059,Fiscal and Financial Crises,Michael D. Bordo and Christopher M. Meissner #22059 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22058,The Macroeconomic Impact of Financial and Uncertainty Shocks,"Dario Caldara, Cristina Fuentes-Albero, Simon Gilchrist, and Egon Zakrajek #22058 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22057,University Innovation and the Professor's Privilege,Hans K. Hvide and Benjamin F. Jones #22057 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22056,A Market Based Solution for Fire Sales and Other Pecuniary Externalities,Weerachart T. Kilenthong and Robert M. Townsend #22056 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22055,The Limits of Propaganda: Evidence from Chavez's Venezuela,Brian Knight and Ana Tribin #22055 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22054,Teacher Applicant Hiring and Teacher Performance: Evidence from DC Public Schools,"Brian Jacob, Jonah E. Rockoff, Eric S. Taylor, Benjamin Lindy, and Rachel Rosen #22054 "
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22053,"Liquidity Requirements, Liquidity Choice and Financial Stability",Douglas W. Diamond and Anil K Kashyap #22053 
"Weekly papers released by March  7, 2016",http://nber.org//papers/w22052,Effects of Welfare Reform on Women's Voting Participation,"Dhaval M. Dave, Hope Corman, and Nancy Reichman #22052 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22051,"Economic Conditions, Illicit Drug Use, and Substance Use Disorders in the United States","Christopher S. Carpenter, Chandler B. McClellan, and Daniel I. Rees #22051 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22050,The Market for Financial Adviser Misconduct,"Mark Egan, Gregor Matvos, and Amit Seru #22050 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22049,The Long Run Effects of Labor Migration on Human Capital Formation in Communities of Origin,Taryn Dinkelman and Martine Mariotti #22049 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22048,Can Fixed-Term Contracts Put Low Skilled Youth on a Better Career Path? Evidence from Spain,"J. Ignacio Garca-Prez, Judit Vall Castell, and Ioana Marinescu #22048 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22047,The Social Value of Financial Expertise,Pablo Kurlat #22047 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22046,Globalization and Political Structure,"Gino Gancia, Giacomo A.M. Ponzetto, and Jaume Ventura #22046 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22045,Excess Volatility: Beyond Discount Rates,Stefano Giglio and Bryan Kelly #22045 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22044,Safe Asset Scarcity and Aggregate Demand,"Ricardo J. Caballero, Emmanuel Farhi, and Pierre-Olivier Gourinchas #22044 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22043,Estimating Social Preferences and Gift Exchange at Work,"Stefano DellaVigna, John A. List, Ulrike Malmendier, and Gautam Rao #22043 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22042,The Long-Run Effects of Disruptive Peers,"Scott E. Carrell, Mark Hoekstra, and Elira Kuka #22042 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22041,Offshoring and Labor Markets,"David Hummels, Jakob R. Munch, and Chong Xiang #22041 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22040,"Net Neutrality, Pricing Instruments and Incentives",Joshua S. Gans and Michael L. Katz #22040 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22039,Transparency and Negotiated Prices: The Value of Information in Hospital-Supplier Bargaining,Matthew Grennan and Ashley Swanson #22039 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22038,A Theory of Bidding Dynamics and Deadlines in Online Retail,"Dominic Coey, Bradley Larsen, and Brennan Platt #22038 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22037,Subsidies and Structure: The Lasting Impact of the Hill-Burton Program on the Hospital Industry,"Andrea Park Chung, Martin Gaynor, and Seth Richards-Shubik #22037 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22036,How Did Pre-Fed Banking Panics End?,Gary Gorton and Ellis W. Tallman #22036 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22035,Dynamic R&D Choice and the Impact of the Firm's Financial Strength,"Bettina Peters, Mark J. Roberts, and Van Anh Vuong #22035 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22034,"Bank Quality, Judicial Efficiency and Borrower Runs: Loan Repayment Delays in Italy","Fabio Schiantarelli, Massimiliano Stacchini, and Philip E. Strahan #22034 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22033,Does Fundraising Create New Giving?,Jonathan Meer #22033 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22031,Self-insuring against Liability Risk: Evidence from Physician Home Values in States with Unlimited Homestead Exemptions,"Eric Helland, Anupam B. Jena, Dan P. Ly, and Seth A. Seabury #22031 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22030,How Does Access to Health Care Affect Teen Fertility and High School Dropout Rates? Evidence from School-based Health Centers,"Michael F. Lovenheim, Randall Reback, and Leigh Wedenoja #22030 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22029,"Owning, Using and Renting:  Some Simple Economics of the ""Sharing Economy""",John J. Horton and Richard J. Zeckhauser #22029 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22028,How Crashes Develop:  Intradaily Volatility and Crash Evolution,David S. Bates #22028 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22027,Popular Attitudes towards Markets and Democracy: Russia and United States Compared 25 Years Later,Maxim Boycko and Robert J. Shiller #22027 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22026,"Decision-Making under the Gambler's Fallacy: Evidence from Asylum Judges, Loan Officers, and Baseball Umpires","Daniel Chen, Tobias J. Moskowitz, and Kelly Shue #22026 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22025,Restoring Rational Choice: The Challenge of Consumer Financial Regulation,John Y. Campbell #22025 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22024,Health Capacity to Work at Older Ages in France,"Didier Blanchet, Eve Caroli, Corinne Prost, and Muriel Roger #22024 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22023,Does Incomplete Spanning in International Financial Markets Help to Explain Exchange Rates?,Hanno Lustig and Adrien Verdelhan #22023 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22022,Experimental Research on Labor Market Discrimination,David Neumark #22022 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22021,Economic Policy Uncertainty and the Credit Channel: Aggregate and Bank Level U.S. Evidence over Several Decades,"Michael D. Bordo, John V. Duca, and Christoffer Koch #22021 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22020,The Term Structure of Interest Rates in India,Rajnish Mehra and Arunima Sinha #22020 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22019,Using Preference Estimates to Customize Incentives: An Application to Polio Vaccination Drives in Pakistan,"James Andreoni, Michael Callen, Yasir Khan, Karrar Jaffar, and Charles Sprenger #22019 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22018,Health Capacity to Work at Older Ages in Denmark,"Paul Bingley, Nabanita Datta Gupta, and Peder Pedersen #22018 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22017,What Makes US Government Bonds Safe Assets?,"Zhiguo He, Arvind Krishnamurthy, and Konstantin Milbradt #22017 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22016,The Demand for Diversification in Incomplete Markets,"Rajnish Mehra, Sunil Wahal, and Daruo Xie #22016 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22015,"Social Norms, Labor Market Opportunities, and the Marriage Gap for Skilled Women","Marianne Bertrand, Patricia Corts, Claudia Olivetti, and Jessica Pan #22015 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22014,Field Experiments on Discrimination,Marianne Bertrand and Esther Duflo #22014 
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22013,Are Expectations Alone Enough? Estimating the Effect of a Mandatory College-Prep Curriculum in Michigan,"Brian Jacob, Susan Dynarski, Kenneth Frank, and Barbara Schneider #22013 "
"Weekly papers released by February 29, 2016",http://nber.org//papers/w22012,Recursive Contracts and Endogenously Incomplete Markets,"Mikhail Golosov, Aleh Tsyvinski, and Nicolas Werquin #22012 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22011,School Finance Reform and the Distribution of Student Achievement,"Julien Lafortune, Jesse Rothstein, and Diane Whitmore Schanzenbach #22011 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22010,MisMatch in Human Capital Accumulation,Russell Cooper and Huacong Liu #22010 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22009,Sluggish Inflation Expectations: A Markov Chain Analysis,Narayana R. Kocherlakota #22009 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22008,"Good Booms, Bad Booms",Gary Gorton and Guillermo Ordoez #22008 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22007,Dynamic Savings Choices with Disagreements,Dan Cao and Ivn Werning #22007 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22006,Breaking the Spell with Credit-Easing: Self-Confirming Credit Crises in Competitive Search Economies,Gaetano Gaballo and Ramon Marimon #22006 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22005,Endogenous Technology Adoption and R&D as Sources of Business Cycle Persistence,"Diego Anzoategui, Diego Comin, Mark Gertler, and Joseba Martinez #22005 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22004,What Drives Racial and Ethnic Differences in High Cost Mortgages? The Role of High Risk Lenders,"Patrick Bayer, Fernando Ferreira, and Stephen L. Ross #22004 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22003,"Judges, Juveniles and In-group Bias","Briggs Depew, Ozkan Eren, and Naci Mocan #22003 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22002,"What is Different About Urbanization in Rich and Poor Countries? Cities in Brazil, China, India and the United States","Juan Pablo Chauvin, Edward Glaeser, Yueran Ma, and Kristina Tobio #22002 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22001,Anti-Corruption Reforms and Shareholder Valuations: Event Study Evidence from China,"Chen Lin, Randall Morck, Bernard Yeung, and Xiaofeng Zhao #22001 "
"Weekly papers released by February 22, 2016",http://nber.org//papers/w22000,Sets of Models and Prices of Uncertainty,Lars P. Hansen and Thomas J. Sargent #22000 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w21999,Methodological Issues in Analyzing Market Dynamics,Ariel Pakes #21999 
"Weekly papers released by February 22, 2016",http://nber.org//papers/w21998,Income-comparison Attitudes in the US and the UK: Evidence from Discrete-choice Experiments,Hitoshi Shigeoka and Katsunori Yamada #21998 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21997,Solution Methods for Models with Rare Disasters,Jess Fernndez-Villaverde and Oren Levintal #21997 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21996,Just Starting Out: Learning and Equilibrium in a New Market,"Ulrich Doraszelski, Gregory Lewis, and Ariel Pakes #21996 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21995,The Mobility of Elite Life Scientists: Professional and Personal Determinants,"Pierre Azoulay, Ina Ganguli, and Joshua S. Graff Zivin #21995 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21994,Effect of International Competition on Firm Productivity and Market Power,Jan De Loecker and Johannes Van Biesebroeck #21994 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21993,The Sovereign-Bank Diabolic Loop and ESBies,"Markus K. Brunnermeier, Luis Garicano, Philip Lane, Marco Pagano, Ricardo Reis, Tano Santos, David Thesmar, Stijn Van Nieuwerburgh, and Dimitri Vayanos #21993 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21992,Who Benefits from Calorie Labeling? An Analysis of its Effects on Body Mass,Partha Deb and Carmen Vargas #21992 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21991,What has Been Happening to UK Income Inequality Since the Mid-1990s? Answers from Reconciled and Combined Household Survey and Tax Return Data,"Richard V. Burkhauser, Nicolas Hrault, Stephen P. Jenkins, and Roger Wilkins #21991 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21990,Including Health Insurance in Poverty Measurement: The Impact of Massachusetts Health Reform on Poverty,Sanders Korenman and Dahlia K. Remler #21990 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21989,Micro to Macro: Optimal Trade Policy with Firm Heterogeneity,"Arnaud Costinot, Andrs Rodrguez-Clare, and Ivn Werning #21989 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21988,"Economic Backwardness and Catching Up: Brazilian Agriculture, 19642014",Lee Alston and Bernardo Mueller #21988 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21987,Intergenerational Persistence of Health in the U.S.: Do Immigrants Get Healthier as they Assimilate?,Mevlude Akbulut-Yuksel and Adriana D. Kugler #21987 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21986,Learning Job Skills from Colleagues at Work: Evidence from a Field Experiment Using Teacher Performance Data,"John P. Papay, Eric S. Taylor, John H. Tyler, and Mary Laski #21986 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21985,Trade Policy Uncertainty and Exports: Evidence from Chinas WTO Accession,"Ling Feng, Zhiyuan Li, and Deborah L. Swenson #21985 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21984,International Trade with Indirect Additivity,"Paolo Bertoletti, Federico Etro, and Ina Simonovska #21984 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21983,"Growth, Urbanization and Poverty Reduction in India","Gaurav Datt, Martin Ravallion, and Rinku Murgai #21983 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21982,The Complexity of Immigrant Generations: Implications for Assessing the Socioeconomic Integration of Hispanics and Asians,Brian Duncan and Stephen J. Trejo #21982 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21981,Does Government Intervention Affect Banking Globalization?,"Anya Kleymenova, Andrew K. Rose, and Tomasz Wieladek #21981 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21980,Health Capacity to Work at Older Ages: Evidence from the United Kingdom,"James Banks, Carl Emmerson, and Gemma Tetlow #21980 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21979,Conditional PPP and Real Exchange Rate Convergence in the Euro Area,"Paul R. Bergin, Reuven Glick, and Jyh-Lin Wu #21979 "
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21978,Macroeconomic Shocks and Their Propagation,Valerie A. Ramey #21978 
"Weekly papers released by February 15, 2016",http://nber.org//papers/w21960,A Jury of Her Peers: The Impact of the First Female Jurors on Criminal Convictions,"Shamena Anwar, Patrick Bayer, and Randi Hjalmarsson #21960 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21977,Financial Markets Views about the Euro-Swiss Franc Floor,Urban J. Jermann #21977 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21976,Work Capacity at Older Ages in the Netherlands,"Adriaan Kalwij, Arie Kapteyn, and Klaas de Vos #21976 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21975,Growth through Rigidity: An Explanation for the Rise in CEO Pay,Kelly Shue and Richard Townsend #21975 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21974,Challenges to Mismeasurement Explanations for the U.S. Productivity Slowdown,Chad Syverson #21974 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21973,Health Capacity to Work at Older Ages: Evidence from Spain,"Pilar Garca-Gmez, Sergi Jimenez-Martin, and Judit Vall Castell #21973 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21972,"Healthy, Happy and Idle: Estimating the Health Capacity to Work at Older Ages in Germany","Hendrik Jrges, Lars Thiel, and Axel Brsch-Supan #21972 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21971,Health Capacity to Work at Older Ages: Evidence from Japan,"Emiko Usui, Satoshi Shimizutani, and Takashi Oshio #21971 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21970,Work Capacity and Longer Working Lives in Belgium,Alain Jousten and Mathieu Lefebvre #21970 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21969,"Health, Work Capacity and Retirement in Sweden","Per Johansson, Lisa Laun, and Mrten Palme #21969 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21968,Who Did the Ethanol Tax Credit Benefit? An Event Analysis of Subsidy Incidence,"David A. Bielen, Richard G. Newell, and William A. Pizer #21968 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21967,Accounting for the Rise in College Tuition,Grey Gordon and Aaron Hedlund #21967 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21966,What Forces Dictate the Design of Pollution Monitoring Networks?,Nicholas Z. Muller and Paul Ruud #21966 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21965,Wage Inequality and Cognitive Skills: Re-Opening the Debate,"Stijn Broecke, Glenda Quintini, and Marieke Vandeweyer #21965 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21964,Patents and Innovation in Economic History,Petra Moser #21964 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21963,The One Child Policy and Promotion of Mayors in China,"Juan Carlos Surez Serrato, Xiao Yu Wang, and Shuang Zhang #21963 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21962,"Partners in Crime: Schools, Neighborhoods and the Formation of Criminal Networks","Stephen B. Billings, David J. Deming, and Stephen L. Ross #21962 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21961,Using Lagged Outcomes to Evaluate Bias in Value-Added Models,"Raj Chetty, John N. Friedman, and Jonah Rockoff #21961 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21959,The Bright Side of Patents,"Joan Farre-Mensa, Deepak Hegde, and Alexander Ljungqvist #21959 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21958,"Global Cycles: Capital Flows, Commodities, and Sovereign Defaults, 1815-2015","Carmen M. Reinhart, Vincent Reinhart, and Christoph Trebesch #21958 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21957,The Effects of Trade Policy,Pinelopi K. Goldberg and Nina Pavcnik #21957 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21956,The Aggregate Implications of Regional Business Cycles,"Martin Beraja, Erik Hurst, and Juan Ospina #21956 "
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21955,Financial Frictions and Unconventional Monetary Policy in Emerging Economies,Roberto Chang and Andrs Velasco #21955 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21954,Japanization: Is it Endemic or Epidemic?,Takatoshi Ito #21954 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21953,Supply and Demand for Discrimination: Strategic Revelation of Own Characteristics in a Trust Game,Anthony Heyes and John A. List #21953 
"Weekly papers released by February  8, 2016",http://nber.org//papers/w21952,"Bankruptcy and Investment: Evidence from Changes in Marital Property Laws in the U.S. South, 1840-1850",Peter Koudijs and Laura Salisbury #21952 
"Weekly papers released by February  1, 2016",http://nber.org//papers/w21951,To Borrow or Not to Borrow?  An Analysis of University Leverage Decisions,Harvey S. Rosen and Alexander J. W. Sappington #21951 
"Weekly papers released by February  1, 2016",http://nber.org//papers/w21950,Net Neutrality: A Fast Lane to Understanding the Trade-offs,"Shane Greenstein, Martin Peitz, and Tommaso Valletti #21950 "
"Weekly papers released by February  1, 2016",http://nber.org//papers/w21949,Appliance Ownership and Aspirations among Electric Grid and Home Solar Households in Rural Kenya,"Kenneth Lee, Edward Miguel, and Catherine Wolfram #21949 "
